unidade;ano;mes;ineficiencia
HAC;2025;1;1,5267
HAC;2025;2;1,4794
HAC;2025;3;1,5908000000000002
HAC;2025;4;1,3506
HAC;2025;5;1,5129
HAC;2025;6;1,3161
HAC;2025;7;1,6600999999999997
HAC;2025;8;1,4393
HAC;2025;9;1,3806
HEM;2025;1;1,4035
HEM;2025;2;1,3419
HEM;2025;3;1,5225
HEM;2025;4;1,3316
HEM;2025;5;1,2706
HEM;2025;6;1,4464
HEM;2025;7;1,3363
HEM;2025;8;1,2408
HEM;2025;9;1,5421
HIJPII;2025;1;1,4443
HIJPII;2025;2;1,3426
HIJPII;2025;3;1,2255000000000003
HIJPII;2025;4;1,158
HIJPII;2025;5;1,1414
HIJPII;2025;6;0,9257
HIJPII;2025;7;1,2035
HIJPII;2025;8;1,3008
HIJPII;2025;9;1,5849
HJK;2025;1;1,5392
HJK;2025;2;1,7159
HJK;2025;3;1,5151
HJK;2025;4;1,4668
HJK;2025;5;1,3524999999999998
HJK;2025;6;1,0959
HJK;2025;7;1,449
HJK;2025;8;1,3163
HJK;2025;9;1,2914
HJXXIII;2025;1;1,4294
HJXXIII;2025;2;1,4436
HJXXIII;2025;3;1,6155
HJXXIII;2025;4;1,3379
HJXXIII;2025;5;1,4976
HJXXIII;2025;6;1,4668
HJXXIII;2025;7;1,5574
HJXXIII;2025;8;1,5185
HJXXIII;2025;9;1,5925
HRAD;2025;1;1,2246
HRAD;2025;2;1,0587
HRAD;2025;3;1,2128
HRAD;2025;4;0,998
HRAD;2025;5;1,148
HRAD;2025;6;1,1971
HRAD;2025;7;0,9564
HRAD;2025;8;1,0831
HRAD;2025;9;0,9619
HRBJA;2025;1;1,4969
HRBJA;2025;2;1,3492
HRBJA;2025;3;1,4684
HRBJA;2025;4;1,3237
HRBJA;2025;5;1,3811
HRBJA;2025;6;1,4875
HRBJA;2025;7;1,4807
HRBJA;2025;8;1,4999
HRBJA;2025;9;1,7865
HRJP;2025;1;1,797
HRJP;2025;2;1,6135
HRJP;2025;3;1,6475
HRJP;2025;4;1,7361
HRJP;2025;5;1,5634
HRJP;2025;6;1,5819
HRJP;2025;7;1,579
HRJP;2025;8;1,4975
HRJP;2025;9;1,6762
MOV;2025;1;1,3053
MOV;2025;2;1,2967
MOV;2025;3;1,4614000000000003
MOV;2025;4;1,2698
MOV;2025;5;1,3283999999999998
MOV;2025;6;1,4488999999999999
MOV;2025;7;1,4048
MOV;2025;8;1,3474
MOV;2025;9;1,2622
